gene_id,HSC,MPPa,MPPb,MPPc
Il1f9,0.88879033,0,0.091064589,0
Il1r1,8.090135831,11.18981785,23.76265162,96.91130066
Il1r2,0.284558096,0.617278482,1.142050779,2.857074593
Il1rap,19.29735209,15.49725609,11.8911802,4.186289448
Il1rapl1,0,0,0,0
Il1rapl2,3.320214677,0.438842817,0.298274861,0.243869368
Il1rl1,11.92475562,9.649064232,5.282934537,0.211176399
Il1rl2,13.36385167,9.58168948,8.639502768,2.378271755
Il1rn,1.145002738,0.184398524,0.164396286,0
Il2,0.605364171,0.245489263,0,0
Il20,0,0,0,0
Il20ra,0.679299272,1.645158474,0.622363214,0.9653166
Il20rb,2.073250171,1.957870959,1.756075341,0.850260161
Il21,0,0,0,0
Il21r,87.10527116,41.55432294,39.51506175,45.02791673
Il22,0,0,0,0
Il22ra1,0.057857578,0,0.070281847,0
Il22ra2,2.816585413,1.03747394,1.230957423,0.291866075
Il23a,0.225353536,0.296080262,0,0.047426571
Il23r,0.11022089,0.08449866,0,0
Il24,0,0,0,0
Il25,0,0,0,0
Il27,2.948282386,1.191748327,0.4981457,0
Il27ra,31.07131669,25.97309154,15.46600647,16.84006796
Il2ra,0.161098033,0,0.031975409,0
Il2rb,0.772822319,0.393204846,0.272196219,0.071822619
Il2rg,154.9522527,122.3786956,200.5710852,181.7989589
Il3,0,0,0,0
Il31,0,0,0,0.119887324
Il31ra,2.239451137,0.77495214,2.809190246,3.199594859
Il33,0,0.090219747,0,0.036173515
Il34,2.650150498,0.483820383,0.03420246,0.053856672
Il3ra,8.793567339,7.403284377,9.150177323,14.20647519
Il4,10.70609191,0.523424253,0.254424911,1.228355292
Il4i1,6.990998992,2.197242441,3.566704755,0.947286198
Il4ra,36.77471959,17.07304277,24.72366346,32.69971807
Il5,0.154697508,0.220909805,0,0.161240488
Il5ra,0.702228677,0.286404894,1.734034494,0.322527544
Il6,0,0.411259652,0.904200869,0.047537595
Il6ra,20.73576283,10.61691759,36.33013111,33.40483737
Il6st,50.23838967,24.54666467,36.88360546,36.04055613
Il7,4.575081473,1.909783615,1.863085253,1.205862003
Il7r,0.267257656,0,0.083605943,2.580561187
Il9,0,0,0,0
Il9r,1.628342208,0,0.04405852,0.071861933
Ildr1,1.519860578,0.072863341,0.387079204,0.346706438
Ildr2,0.220795304,0.106287234,0.006097863,0
Ilf2,86.65296897,117.1470313,108.7287927,75.79399821
Ilf3,154.8860852,174.580672,207.3008823,127.0783935
Ilk,184.1552825,208.0312529,220.4878104,112.5557029
Ilkap,145.1523721,135.0925986,121.6559992,148.7111636
Iltifb,0,0,0,0
Ilvbl,58.5088556,45.33897924,42.76930717,24.55144776
Immp1l,48.73426042,64.10846807,48.56022301,32.34606167
Immp2l,14.32268976,11.91895335,12.47225519,13.26493253
Immt,127.8455513,155.6458561,163.4561521,134.022781
Imp3,209.7743965,182.9707398,212.7066,250.5307966
Imp4,99.01447741,106.2001606,109.7952382,88.18091463
Impa1,24.79745533,28.173005,25.93166141,18.15694872
Impa2,96.47860766,103.9970809,123.0585796,123.0123574
Impact,52.91746483,32.56174979,23.33026936,18.96752377
Impad1,46.54222539,60.58774711,42.47200522,21.81280419
Impdh1,28.31402209,31.39156863,49.28259993,42.27358134
Impdh2,60.77225701,97.14629659,77.76178829,86.28304864
Impg1,0.105781996,0.065718768,0,0.027016244
Impg2,0.467272581,0.17653497,0.171809001,0.089930974
Ina,0.746858661,0,0.089964113,0.103782628
Inadl,25.71434794,10.26054835,12.46016686,9.314847088
Inafm1,161.3927144,136.7286811,72.03100094,57.82417018
Inafm2,33.30257959,43.22274708,41.04499762,29.07271528
Inca1,5.354392934,1.134872185,1.541216225,1.837376573
Incenp,49.77663499,149.8630261,108.6275346,121.5223098
Inf2,62.31088789,51.24280785,36.42700478,17.08754308
Ing1,58.20968393,63.89949099,50.41898652,52.68265413
Ing2,28.95608323,30.80195473,19.50772625,18.28552036
Ing3,21.75306464,24.97049913,20.91803149,16.92556305
Ing4,82.03565845,67.68414729,74.34699147,60.33958502
Ing5,30.01240024,37.68462835,30.96241124,26.20415023
Inha,22.99677748,7.088099901,3.125595516,2.061145232
Inhba,22.22904533,1.778813338,1.981713741,0.322878501
Inhbb,0,0,0,0
Inhbc,0.133624338,0,0.055037188,0
Inhbe,0.155707271,0,0,0.031200053
Inip,48.07234903,75.46356779,69.44484979,58.45555482
Inmt,0,0,0,0
Ino80,45.27133661,39.46477833,41.34167323,30.16186224
Ino80b,16.03200918,24.33746142,19.11726691,25.41837837
Ino80c,45.63407634,60.62529061,44.39486403,25.14503707
Ino80d,66.39271422,61.19477576,70.93971071,60.7700132
Ino80dos,8.31021369,7.888929917,9.852845468,7.492723634
Ino80e,48.6205941,45.14741692,51.68544272,43.35952244
Inpp1,30.36734166,24.16467085,25.39363674,22.84255847
Inpp4a,26.10119156,15.50910717,12.96555929,12.65595512
Inpp4b,11.09014703,9.838998161,7.590114576,4.019095688
Inpp5a,11.18313601,13.17215993,6.501726381,7.613702467
Inpp5b,41.05339426,70.95563368,81.26448127,40.34028222
Inpp5d,93.50177872,85.6039317,116.0216679,87.13496235
Inpp5e,47.96908045,31.33231322,38.37241178,31.35174052
Inpp5f,24.20360194,25.58250343,24.20985722,14.32306707
Inpp5j,0,0,0,0
Inpp5k,79.67560522,56.81892241,64.68718349,55.99244603
Inppl1,13.16605808,6.167763946,4.276805449,2.060993376
Ins1,0,0,0,0
Ins2,0,0,0,0
Insc,0.033762207,0,0,0
Insig1,45.93584744,37.51636109,31.25720783,21.80639248
Insig2,32.91242761,28.04748305,24.19566021,11.16050826
Insl3,109.825303,75.7250153,108.1007841,172.1510235
Insl5,0,0,0.100928792,0
Insl6,23.6039589,24.50799034,32.57857303,49.58579848
Insm1,0.503003036,0.091214423,0,0
Insm2,0.52051852,0.713163679,0.252520843,0.028161071
Insr,56.44537459,37.94358804,36.27856259,26.37760384
Insrr,5.462151448,1.142195429,0.336679842,0.521484575
Ints1,39.04379251,39.18840388,48.5562562,41.82712389
Ints10,28.36435665,31.46145382,30.0429465,25.99037034
Ints12,16.4240753,23.31926358,21.33705187,18.50334975
Ints2,31.11243507,36.92290238,30.92044657,15.8018941
Ints3,83.72103942,73.85010191,77.72232897,48.92404258
Ints4,83.94175532,83.25339191,101.9639207,60.29166593
Ints5,46.61099234,29.39588277,42.88037784,22.51724858
Ints6,34.37331167,33.6032427,33.05521653,21.08541263
